Model,MSRP,Year Released
Radeon X1800 XL,449.0,2005
Radeon X1600 XT,249.0,2005
Radeon X1300 PRO,149.0,2005
Radeon X1650 XT,149.0,2006
Radeon X1650 PRO,99.0,2006
Radeon X1300 XT,89.0,2006
Radeon X1900 CrossFire Edition,599.0,2006
Radeon X1900 XT,549.0,2006
Radeon X1900 XTX,649.0,2006
Radeon X1950 CrossFire Edition,449.0,2006
Radeon X1950 PRO,199.0,2006
Radeon X1950 XTX,449.0,2006
Radeon X1800 GTO,249.0,2006
Radeon X1950 GT,140.0,2007
GeForce GTX 260,300.0,2008
GeForce GTX 275,250.0,2009
GeForce GTX 285,400.0,2009
GeForce GTX 295,500.0,2009
GeForce GTX 465,279.0,2010
GeForce GT 430,79.0,2010
GeForce GT 430,79.0,2010
GeForce GTS 450,129.0,2010
GeForce GTX 460 SE,160.0,2010
GeForce GTX 460,199.0,2010
GeForce GTX 460,229.0,2010
GeForce GTX 480,499.0,2010
GeForce GTX 570,349.0,2010
GeForce GTX 580,499.0,2010
GeForce GTX 470,349.0,2010
GeForce GTX 460,199.0,2011
GeForce GTX 590,699.0,2011
Radeon HD 7970 (Tahiti XT),550.0,2011
GeForce GT 440,100.0,2011
GeForce GTX 560 Ti (448 Cores),289.0,2011
GeForce GTX 560 Ti,249.0,2011
GeForce GTX 560,199.0,2011
GeForce GTX 550 Ti,149.0,2011
GeForce GT 545,149.0,2011
GeForce GT 520,59.0,2011
Radeon HD 7750 (Cape Verde Pro),110.0,2012
Radeon HD 7850 (Pitcairn Pro),250.0,2012
Radeon HD 7870 GHz Edition (Pitcairn XT),350.0,2012
Radeon HD 7770 GHz Edition (Cape Verde XT),160.0,2012
GeForce GTX 680,500.0,2012
Radeon HD 7970 GHz Edition (Tahiti XT2),500.0,2012
GeForce GTX 690,1000.0,2012
Radeon HD 7870 XT (Tahiti LE),270.0,2012
GeForce GTX 670,400.0,2012
GeForce GTX 660 Ti,300.0,2012
GeForce GTX 650,110.0,2012
GeForce GT 640,100.0,2012
Radeon HD 7950 Boost (Tahiti Pro2),330.0,2012
Radeon HD 7950 (Tahiti Pro),450.0,2012
GeForce GTX TITAN,999.0,2013
GeForce GTX 780 Ti,699.0,2013
Radeon HD 7990 (New Zealand),1000.0,2013
Radeon HD 7730 (Cape Verde LE),60.0,2013
Radeon HD 7790 (Bonaire XT),150.0,2013
GeForce GTX TITAN Z,2999.0,2014
GeForce GTX TITAN Black,999.0,2014
GeForce GTX 750 Ti,149.0,2014
GeForce GTX 750,119.0,2014
Arc 3,110.0,2022
Arc 3,139.0,2022
Arc 7,289.0,2022
Arc 7,329.0,2022
Arc 7,349.0,2022
Arc 5,179.0,2023
Arc 5,249.0,2024
Arc 5,219.0,2025
Arc Pro,349.0,2025
