,video_card_name,pasmark_gd3_mark,rank,videocard_value,price_usd
0,Barco MXRT 2600,900,1418,4.52,$199.00 
1,Barco MXRT 5400,1161,1275,5.72,$203.00 
2,Barco MXRT 5450,1079,1307,5.4,$199.99 
3,Barco MXRT 5500,2701,787,9.04,$299.00 
4,Barco MXRT 5600,2465,828,3.5,$704.00 
5,Barco MXRT 7400,900,1417,9.1,$99.00 
6,Barco MXRT 7500,3753,642,12.55,$299.00 
7,Barco MXRT 7600,4943,536,8.2,$602.59 
8,Dell 8100,2,2800,0,$999.11 
9,EAH5450,134,2266,1.22,$109.99 
10,FireGL V3600,179,2178,1.12,$160.99 
11,FireGL V5100,92,2383,0.81,$114.96 
12,FireGL V5200,114,2319,0.86,$133.40 
13,FireGL V5600,341,2003,1.52,$225.00 
14,FireGL V7100,71,2436,0.22,$328.67 
15,FireGL V7300,128,2280,0.11,"$1,189.99 "
16,FireGL V7350,110,2332,0.93,$119.42 
17,FireGL V7700,660,1630,9.43,$69.99 
18,FireGL V8650,550,1782,1.84,$298.99 
19,FireMV 2200 PCIe,36,2561,0.4,$89.99 
20,FireMV 2250,45,2517,0.44,$104.00 
21,FireMV 2260,117,2308,1.33,$88.08 
22,FirePro 3D V3700,178,2182,2.1,$84.99 
23,FirePro 3D V3750,341,2001,6.71,$50.88 
24,FirePro 3D V3800,472,1885,3.15,$149.99 
25,FirePro 3D V4800,853,1447,5.33,$159.99 
26,FirePro 3D V5700,546,1787,1.71,$319.99 
27,FirePro 3D V5800,1231,1242,6.04,$204.00 
28,FirePro 3D V7750,545,1790,1.56,$350.00 
29,FirePro 3D V7800,1867,1008,3.11,$599.99 
30,FirePro 3D V8700,1206,1253,7.09,$170.07 
31,FirePro 3D V8750,1271,1227,1.03,"$1,230.99 "
32,FirePro 3D V8800,2437,832,5.74,$424.99 
33,FirePro 3D V9800,2811,767,1.13,"$2,499.00 "
34,FirePro 2270,142,2241,1.06,$134.00 
35,FirePro 2450,51,2498,0.57,$89.99 
36,FirePro 2460,170,2192,2.03,$83.99 
37,FirePro M4000,1598,1118,21.95,$72.83 
38,FirePro M6000,1820,1026,5.58,$325.99 
39,FirePro R5000,2646,794,24.06,$109.99 
40,FirePro RG220,335,2010,0.52,$650.18 
41,FirePro S7000,4523,570,18.35,$246.54 
42,FirePro S7150,3770,641,2.22,"$1,697.99 "
43,FirePro V3800,320,2028,2.57,$124.99 
44,FirePro V3900,630,1674,2.64,$238.44 
45,FirePro V4900,1003,1350,6.69,$149.99 
46,FirePro V5700,464,1894,2.47,$188.06 
47,FirePro V5800,1184,1262,22.35,$53.00 
48,FirePro V5900,1232,1241,14.33,$86.00 
49,FirePro V7800,2028,950,10.68,$190.00 
50,FirePro V7900,2260,882,11.9,$190.00 
51,FirePro V8700,1538,1143,9.75,$157.88 
52,FirePro V8800,2280,874,11.52,$198.00 
53,FirePro V9800,2726,781,5.75,$474.00 
54,FirePro W600,1694,1069,4.08,$414.99 
55,FirePro W2100,849,1452,14.39,$59.00 
56,FirePro W4100,1488,1160,8.09,$184.00 
57,FirePro W4300,2717,784,11.32,$239.99 
58,FirePro W5000,2967,748,16.13,$184.00 
59,FirePro W5100,2972,747,23.6,$125.99 
60,FirePro W7000,4315,595,15.52,$278.05 
61,FirePro W7100,5034,529,12.93,$389.30 
62,FirePro W8000,4259,600,7.43,$573.00 
63,FirePro W8100,6812,399,9.68,$704.00 
64,FirePro W9000,6144,439,7.27,$845.00 
65,FirePro W9100,7747,367,4.48,"$1,729.99 "
66,GeForce4 Ti 4600,5,2706,0.1,$53.99 
67,GeForce 210,138,2252,2.56,$54.15 
68,GeForce 256,5,2713,0.12,$42.04 
69,GeForce 310,144,2237,1.33,$108.35 
70,GeForce 315,196,2158,5.95,$32.99 
71,GeForce 405,117,2307,4.79,$24.64 
72,GeForce 505,143,2238,1.25,$115.06 
73,GeForce 510,290,2052,4.15,$69.99 
74,GeForce 605,331,2016,2.42,$136.83 
75,GeForce 770M,3245,705,18.34,$176.99 
76,GeForce 6150,21,2627,0.07,$329.00 
77,GeForce 6200,37,2555,0.71,$53.17 
78,GeForce 6200 LE,32,2583,0.8,$41.24 
79,GeForce 6200A,3,2758,0.07,$54.99 
80,GeForce 6600,85,2396,0.33,$264.00 
81,GeForce 6600 GT,142,2240,2.2,$64.95 
82,GeForce 6800,112,2326,0.2,$559.29 
83,GeForce 7300 GT,123,2293,0.82,$149.99 
84,GeForce 7300 LE,81,2411,2.56,$32.00 
85,GeForce 7600 GS,166,2201,1.48,$112.51 
86,GeForce 7600 GT,234,2112,1.18,$199.00 
87,GeForce 7800 GT,244,2103,3.05,$80.00 
88,GeForce 7800 GTX,268,2077,3.75,$71.60 
