,video_card_name,pasmark_gd3_mark,rank,videocard_value,price_usd
0,256MB DDR Radeon 9800 XT,37,2553,NA,NA
1,7900 MOD - Radeon HD 6520G,610,1700,NA,NA
2,7900 MOD - Radeon HD 6550D,892,1422,NA,NA
3,A2-2Q,3331,692,NA,NA
4,A6 Micro-6500T Quad-Core APU with RadeonR4,220,2126,NA,NA
5,A10-4Q,3101,733,NA,NA
6,A10-8Q,6647,410,NA,NA
7,A10-12Q,9493,309,NA,NA
8,A10-24Q,12089,242,NA,NA
9,A10G,13598,200,NA,NA
10,A16,5280,504,NA,NA
11,A16-1Q,3430,680,NA,NA
12,A16-2B,2178,910,NA,NA
13,A16-2Q,4747,557,NA,NA
14,A16-4Q,3847,631,NA,NA
15,A16-8Q,4768,552,NA,NA
16,A16-16Q,3872,628,NA,NA
17,A40-2Q,1502,1155,NA,NA
18,A40-4Q,3712,645,NA,NA
19,A40-8Q,7716,369,NA,NA
20,A40-24Q,3317,696,NA,NA
21,A40-48Q,10436,283,NA,NA
22,ABIT Siluro T400,3,2750,NA,NA
23,ALL-IN-WONDER 9000,4,2717,NA,NA
24,ALL-IN-WONDER 9800,23,2622,NA,NA
25,ALL-IN-WONDER RADEON 8500DV,5,2703,NA,NA
26,ALL-IN-WONDER X800 GT,84,2401,NA,NA
27,All-in-Wonder X1800XL,30,2594,NA,NA
28,All-in-Wonder X1900,127,2282,NA,NA
29,AMD Ryzen Z1 Extreme,6444,421,NA,NA
30,AMIGAMERLIN 3.1-R1 For Voodoo 4 4500 PCI,3,2775,NA,NA
31,ASUS A7000,9,2663,NA,NA
32,ASUS AGP-V3800PRO v31.40H,4,2736,NA,NA
33,ASUS EAH4870x2,496,1854,NA,NA
34,Asus GTX 650 FML II EC-EGPU,720,1580,NA,NA
35,ASUS V9520-X V62.11,7,2674,NA,NA
36,B8DKMDAP,4557,565,NA,NA
37,Barco MXRT 1450,205,2147,NA,NA
38,Barco MXRT 2600,900,1418,4.52,$199.00*
39,Barco MXRT 5400,1161,1275,5.72,$203.00*
40,Barco MXRT 5450,1079,1307,5.40,$199.99*
41,Barco MXRT 5500,2701,787,9.04,$299.00*
42,Barco MXRT 5600,2465,828,3.50,$704.00*
43,Barco MXRT 7100,180,2177,NA,NA
44,Barco MXRT 7400,900,1417,9.10,$99.00*
45,Barco MXRT 7500,3753,642,12.55,$299.00*
46,Barco MXRT 7600,4943,536,8.20,$602.59*
47,Barco MXRV-3100,5598,473,NA,NA
48,BASICDISPLAY,69,2445,NA,NA
49,Beijing Fantasy Technology Fantasy II-M,288,2055,NA,NA
50,CARRIZO 9874,226,2117,NA,NA
51,Citrix Indirect Display Adapter,1888,1000,NA,NA
52,CMP 30HX,4959,534,NA,NA
53,CMP 40HX,9137,324,NA,NA
54,CONNECT 3D RADEON X300,36,2559,NA,NA
55,Custom GPU 0405,2934,754,NA,NA
56,Custom GPU 0932,3253,704,NA,NA
57,CXDisplay Device,13988,188,NA,NA
58,Dell 8100,2,2800,0.00,$999.11*
59,Dell 8200,4,2738,NA,NA
60,Diamond X1300-PCIE 256MB,70,2444,NA,NA
61,DisplayLink USB Device Ryzen 7 6800H,4444,581,NA,NA
62,DisplayLink USB Device Ryzen 7 7735HS,5768,461,NA,NA
63,DisplayLink USB Device Ryzen 7 PRO 6850U,4381,590,NA,NA
64,EAH5450,134,2266,1.22,$109.99*
65,EIZO Quadro MED-XN51LP,4951,535,NA,NA
66,EIZO Quadro MED-XN72,9036,329,NA,NA
67,EIZO Quadro MED-XN92,17035,130,NA,NA
68,Embedded Radeon E9173,1771,1046,NA,NA
69,Eng Sample: 100-000000560-40_Y,5655,468,NA,NA
70,Eng Sample: 100-000000561-40_Y,4206,603,NA,NA
71,Extreme AX850 PRO,120,2303,NA,NA
72,FireGL T2-128,30,2591,NA,NA
73,FireGL V3100,52,2488,NA,NA
74,FireGL V3200,84,2398,NA,NA
75,FireGL V3300,70,2442,NA,NA
76,FireGL V3350,68,2450,NA,NA
77,FireGL V3400,103,2353,NA,NA
78,FireGL V3600,179,2178,1.12,$160.99*
79,FireGL V5100,92,2383,0.81,$114.96*
80,FireGL V5200,114,2319,0.86,$133.40*
81,FireGL V5600,341,2003,1.52,$225.00*
82,FireGL V7100,71,2436,0.22,$328.67*
83,FireGL V7200,116,2313,NA,NA
84,FireGL V7300,128,2280,0.11,"$1,189.99*"
85,FireGL V7350,110,2332,0.93,$119.42*
86,FireGL V7600,615,1692,NA,NA
87,FireGL V7700,660,1630,9.43,$69.99*
88,FireGL V8600,838,1456,NA,NA
89,FireGL V8650,550,1782,1.84,$298.99*
90,FireGL X1,59,2474,NA,NA
91,FireMV 2200 PCI,1,2817,NA,NA
92,FireMV 2200 PCIe,36,2561,0.40,$89.99*
93,FireMV 2250,45,2517,0.44,$104.00*
94,FireMV 2260,117,2308,1.33,$88.08*
95,FireMV 2400 PCIe,11,2655,NA,NA
96,FireMV 2450,73,2430,NA,NA
97,FirePro 3D V3700,178,2182,2.10,$84.99*
98,FirePro 3D V3750,341,2001,6.71,$50.88*
99,FirePro 3D V3800,472,1885,3.15,$149.99*
100,FirePro 3D V4800,853,1447,5.33,$159.99*
101,FirePro 3D V5700,546,1787,1.71,$319.99*
102,FirePro 3D V5800,1231,1242,6.04,$204.00*
103,FirePro 3D V7750,545,1790,1.56,$350.00*
104,FirePro 3D V7800,1867,1008,3.11,$599.99*
105,FirePro 3D V8700,1206,1253,7.09,$170.07*
106,FirePro 3D V8750,1271,1227,1.03,"$1,230.99*"
107,FirePro 3D V8800,2437,832,5.74,$424.99*
108,FirePro 3D V9800,2811,767,1.13,"$2,499.00*"
109,FirePro 2260,112,2325,NA,NA
110,FirePro 2270,142,2241,1.06,$134.00*
111,FirePro 2450,51,2498,0.57,$89.99*
112,FirePro 2460,170,2192,2.03,$83.99*
113,FirePro M2000,425,1930,NA,NA
114,FirePro M4000,1598,1118,21.95,$72.83*
115,FirePro M4000 Mobility Pro,1629,1094,NA,NA
116,Firepro M4100,1059,1319,NA,NA
117,FirePro M4150,1027,1338,NA,NA
118,FirePro M4170,1167,1270,NA,NA
119,FirePro M5100,1874,1005,NA,NA
120,FirePro M5100 FireGL V,1839,1020,NA,NA
121,FirePro M5950,1314,1210,NA,NA
122,FirePro M6000,1820,1026,5.58,$325.99*
123,FirePro M6000 Mobility Pro,1741,1055,NA,NA
124,FirePro M6100,2516,825,NA,NA
125,FirePro M6100 FireGL V,2884,757,NA,NA
126,FirePro M7740,665,1628,NA,NA
127,FirePro M40003,1364,1197,NA,NA
